DATE,DAY,DESCRIPTION
26-Jan-2023,Thursday,Republic Day
07-Mar-2023,Tuesday,Holi
30-Mar-2023,Thursday,Ram Navami
04-Apr-2023,Tuesday,Mahavir Jayanti
07-Apr-2023,Friday,Good Friday
14-Apr-2023,Friday,Dr. Baba Saheb Ambedkar Jayanti
01-May-2023,Monday,Maharashtra Day
28-Jun-2023,Wednesday,Bakri Id
15-Aug-2023,Tuesday,Independence Day
19-Sep-2023,Tuesday,Ganesh Chaturthi
02-Oct-2023,Monday,Mahatma Gandhi Jayanti
24-Oct-2023,Tuesday,Dussehra
14-Nov-2023,Tuesday,Diwali-Balipratipada
27-Nov-2023,Monday,Gurunanak Jayanti
25-Dec-2023,Monday,Christmas